Start Time;End Time;Play Time;Game;Stake;Location;Buy In;Cashed Out;Profit
08/22/13 9:14 PM;08/22/13 11:14 PM;2:00;Texas Holdem;£2/£2;gala queensway;365;665;300
06/13/13 11:52 PM;06/14/13 1:10 AM;1:18;Texas Holdem;£1/£1;the vic;400;300;-100
06/15/13 7:24 PM;06/15/13 8:16 PM;0:51;Texas Holdem;£1/£3;the vic;1000;1100;100
06/15/13 11:52 PM;06/16/13 3:24 AM;3:31;Texas Holdem;£5/£10;the vic;2950;2950;0
06/16/13 4:00 AM;06/16/13 5:41 AM;1:40;Texas Holdem;£1/£2;empire;1000;2700;1700
06/16/13 6:28 AM;06/16/13 7:08 AM;0:39;Texas Holdem;£1/£1;the vic;200;358;158
06/16/13 7:12 AM;06/16/13 10:58 AM;3:45;Texas Holdem;£1/£3;the vic;1858;1625;-233
06/17/13 12:30 AM;06/17/13 3:31 AM;3:00;Texas Holdem;£1/£3;the vic;1000;1530;530
06/17/13 3:54 AM;06/17/13 5:43 AM;1:49;Texas Holdem;£1/£2;My House;1530;1945;415
06/17/13 3:59 PM;06/17/13 6:41 PM;2:42;Texas Holdem;£2/£5;empire;2000;2050;50
06/17/13 8:16 PM;06/17/13 11:41 PM;3:24;Texas Holdem;£1/£3;the vic;1500;1025;-475
06/21/13 9:26 AM;06/21/13 3:27 PM;6:01;Texas Holdem;£2/£5;aspers;1100;1030;-70
06/21/13 4:52 PM;06/21/13 6:24 PM;1:32;Texas Holdem;£1/£2;the vic;400;530;130
06/22/13 3:28 AM;06/22/13 6:30 AM;3:01;Texas Holdem;£1/£2;hippo;900;516;-384
06/22/13 6:43 AM;06/22/13 7:37 AM;0:54;Texas Holdem;£1/£2;empire;500;;-500
06/23/13 1:59 AM;06/23/13 2:25 AM;0:25;Texas Holdem;£1/£2;the vic;390;356;-34
06/22/13 11:57 PM;06/23/13 1:26 AM;1:28;Texas Holdem;£1/£2;genting;880;385;-495
06/28/13 11:35 PM;06/29/13 1:58 AM;2:22;Texas Holdem;£2/£5;holland casini;400;682;282
06/23/13 2:28 AM;06/23/13 4:48 AM;2:19;Texas Holdem;£2/£5;the vic;3340;3385;45
06/29/13 9:10 PM;06/30/13 1:53 AM;4:43;Texas Holdem;£2/£5;holland casini;380;500;120
07/01/13 9:58 PM;07/02/13 12:04 AM;2:06;Texas Holdem;£1/£3;the vic;1000;725;-275
06/30/13 4:40 PM;06/30/13 6:35 PM;1:55;Texas Holdem;£2/£2;dam_hollandC;900;;-900
07/03/13 9:08 PM;07/03/13 10:56 PM;1:48;Texas Holdem;£1/£2;the vic;365;540;175
07/02/13 6:53 PM;07/02/13 9:50 PM;2:56;Texas Holdem;£1/£1;the vic;600;360;-240
07/04/13 7:11 PM;07/04/13 9:09 PM;1:58;Texas Holdem;£1/£1;the vic;300;190;-110
07/07/13 12:22 AM;07/07/13 4:37 AM;4:14;Texas Holdem;£1/£1;the vic;250;360;110
07/05/13 7:02 PM;07/05/13 7:54 PM;0:51;Texas Holdem;£1/£1;the vic;200;105;-95
07/12/13 11:38 PM;07/13/13 12:12 AM;0:34;Texas Holdem;£1/£2;grosvenor reading;300;685;385
07/09/13 7:59 PM;07/09/13 8:49 PM;0:50;Texas Holdem;£1/£2;the vic;400;315;-85
07/14/13 6:49 PM;07/14/13 8:08 PM;1:19;Texas Holdem;£1/£2;empire;500;465;-35
07/13/13 12:55 AM;07/13/13 12:56 AM;0:00;Texas Holdem;£1/£2;grosvenor reading;400;450;50
07/13/13 12:57 AM;07/13/13 3:39 AM;2:41;Texas Holdem;£1/£2;grosvenor reading;600;1000;400
08/10/13 3:39 AM;08/10/13 4:57 AM;1:18;Texas Holdem;£2/£2;grosvenor reading;300;390;90
08/11/13 1:19 AM;08/11/13 1:19 PM;11:59;Texas Holdem;£1/£2;the vic;400;400;0
07/19/13 12:43 AM;07/19/13 3:22 AM;2:38;Texas Holdem;£1/£2;empire;700;280;-420
08/03/13 1:02 AM;08/03/13 4:16 AM;3:13;Texas Holdem;£2/£2;grosvenor reading;450;1240;790
08/22/13 9:25 PM;08/22/13 10:45 PM;1:19;Texas Holdem;£2/£2;aspers;500;350;-150
08/17/13 1:37 AM;08/17/13 3:15 AM;1:37;Texas Holdem;£2/£2;empire;400;810;410
08/18/13 3:06 AM;08/18/13 3:16 AM;0:10;Texas Holdem;£2/£2;the vic;400;400;0
09/08/13 2:39 AM;09/08/13 3:07 AM;0:27;Texas Holdem;£2/£2;dusk till dawn;1080;1515;435
09/08/13 10:09 PM;09/08/13 11:29 PM;1:20;Omaha;£2/£2;dusk till dawn;1000;1110;110
08/23/13 11:55 PM;08/24/13 12:44 AM;0:49;Texas Holdem;£2/£2;empire;400;585;185
09/08/13 2:10 AM;09/08/13 2:38 AM;0:28;Texas Holdem;£2/£2;dusk till dawn;500;580;80
09/21/13 7:58 AM;09/21/13 9:20 AM;1:21;Texas Holdem;£2/£2;empire;600;;-600
09/15/13 12:07 AM;09/15/13 3:10 AM;3:03;Texas Holdem;£2/£2;empire;400;;-400
09/11/13 3:07 PM;09/11/13 6:47 PM;3:40;Texas Holdem;£1/£1;the vic;200;575;375
